Location,Poverty Level,TimeFrame,DataFormat,Data
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2008,Percent,0.0826
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2008,Percent,0.5959
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Percent,0.08
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2008,Percent,0.5133
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Percent,0.56
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Percent,0.48
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Number,2555
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Number,18792
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Number,16237
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Number,15632
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Number,18247
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Number,2615
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Percent,0.0773
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Percent,0.5394
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Percent,0.4621
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Percent,0.0588
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Percent,0.4347
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Number,1958
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Percent,0.4935
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Number,14476
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Number,16434
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Number,1906
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Number,15563
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Number,13657
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Percent,0.0591
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Percent,0.4826
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Percent,0.06
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Percent,0.4235
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Percent,0.42
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Number,11690
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Number,13715
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Number,2025
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Number,11355
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Number,13599
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Number,2244
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Percent,0.06957
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Percent,0.42164
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Percent,0.35206
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Percent,0.07263
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Percent,0.35603
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Percent,0.2834
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Number,8935
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Number,11225
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Number,2290
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Number,8619
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Number,10987
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Number,2368
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Percent,0.28
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Percent,0.08
AGATE 300,Eligible for Reduced Price Lunch,2000,Percent,0.1
AGATE 300,Eligible for Free or Reduced Lunch,2000,Percent,0.34
AGATE 300,Eligible for Free Lunch,2000,Percent,0.24
AGATE 300,Eligible for Reduced Price Lunch,2000,Number,11
AGATE 300,Eligible for Free or Reduced Lunch,2000,Number,37
AGATE 300,Eligible for Free Lunch,2000,Number,26
AGATE 300,Eligible for Reduced Price Lunch,2001,Number,77
AGATE 300,Eligible for Free or Reduced Lunch,2001,Number,114
AGATE 300,Eligible for Free Lunch,2001,Number,37
AGATE 300,Eligible for Free Lunch,2001,Percent,0.2803
AGATE 300,Eligible for Free or Reduced Lunch,2001,Percent,0.86364
AGATE 300,Eligible for Reduced Price Lunch,2001,Percent,0.58333
AGATE 300,Eligible for Free Lunch,2002,Percent,0.34821
AGATE 300,Eligible for Free or Reduced Lunch,2002,Percent,0.35714
AGATE 300,Eligible for Reduced Price Lunch,2002,Percent,0.00893
AGATE 300,Eligible for Reduced Price Lunch,2002,Number,1
AGATE 300,Eligible for Free or Reduced Lunch,2002,Number,40
AGATE 300,Eligible for Free Lunch,2002,Number,39
AGATE 300,Eligible for Reduced Price Lunch,2003,Number,8
AGATE 300,Eligible for Free or Reduced Lunch,2003,Number,40
AGATE 300,Eligible for Free Lunch,2003,Number,32
AGATE 300,Eligible for Free Lunch,2003,Percent,0.36
AGATE 300,Eligible for Free or Reduced Lunch,2003,Percent,0.44
AGATE 300,Eligible for Free Lunch,2004,Percent,0.2967
